Src IP,Dst IP,Total Flow Duration,Total Forward Packets,Average Flow Duration,Average Forward Packets,Std Dev Flow Duration,Std Dev Forward Packets
192.168.20.43,52.46.137.248,516023,23,516023.0,23.0,0.0,0.0
44.193.236.65,192.168.20.48,114803,33,114803.0,33.0,0.0,0.0
18.203.57.224,192.168.20.43,254,4,254.0,4.0,0.0,0.0
192.168.20.43,3.218.120.56,765445967,98,3.827229835E8,49.0,1.629747505E8,21.0
192.168.20.48,54.146.45.201,628682,20,628682.0,20.0,0.0,0.0
192.168.20.43,52.222.149.17,108646,6,108646.0,6.0,0.0,0.0
192.168.20.48,52.223.30.179,124009,13,124009.0,13.0,0.0,0.0
192.168.20.43,52.222.149.14,1851104,6,1851104.0,6.0,0.0,0.0
52.27.163.92,192.168.20.43,20850,26,20850.0,26.0,0.0,0.0
54.243.58.104,192.168.20.48,40370,8,40370.0,8.0,0.0,0.0
192.168.20.43,54.226.11.35,19173874,143,1.9173874E7,143.0,0.0,0.0
15.184.245.166,192.168.20.48,15657,4,15657.0,4.0,0.0,0.0
192.168.20.43,35.155.9.57,53406554,141,5.3406554E7,141.0,0.0,0.0
192.168.20.45,82.64.84.116,3839,1,3839.0,1.0,0.0,0.0
157.241.5.46,192.168.20.48,35081,3,35081.0,3.0,0.0,0.0
192.168.20.43,52.46.143.123,90486279,11,9.0486279E7,11.0,0.0,0.0
52.202.2.34,192.168.20.48,27403,16,27403.0,16.0,0.0,0.0
192.168.20.43,44.240.184.205,25971652,53,1.2985826E7,26.5,4328956.0,9.5
142.250.179.74,192.168.20.42,95,2,95.0,2.0,0.0,0.0
192.168.20.48,52.222.145.55,428647,55,428647.0,55.0,0.0,0.0
18.203.57.224,192.168.20.48,-2059055467,223,-1.0295277335E9,111.5,1.0295323655E9,95.5
3.208.140.212,192.168.20.43,92,2,92.0,2.0,0.0,0.0
192.168.20.43,52.94.228.85,4902810,108,2451405.0,54.0,2289271.0,50.0
192.168.20.254,239.255.255.250,3504884,1024,1752442.0,512.0,1620856.0,472.0
192.168.20.43,35.173.14.214,16666798,189,1.6666798E7,189.0,0.0,0.0
192.168.20.43,3.232.197.4,96947022,46,9.6947022E7,46.0,0.0,0.0
192.168.20.48,3.28.113.52,491719,17,491719.0,17.0,0.0,0.0
35.186.224.25,192.168.20.42,1154,1,1154.0,1.0,0.0,0.0
192.168.20.43,52.70.101.206,32331133,138,1.61655665E7,69.0,4298861.5,12.0
192.168.20.43,54.239.27.88,566606,35,566606.0,35.0,0.0,0.0
192.168.20.43,44.207.146.186,1291232007,166,1.291232007E9,166.0,0.0,0.0
192.168.20.12,18.192.43.219,-1319478955,3066,-6.597394775E8,1533.0,5.749881455E8,1399.0
192.168.20.18,51.195.117.133,282312516,141,1.41156258E8,70.5,1.29080265E8,64.5
54.239.33.155,192.168.20.43,1026,1,1026.0,1.0,0.0,0.0
3.28.113.52,192.168.20.48,4667,1,4667.0,1.0,0.0,0.0
151.101.1.16,192.168.20.43,24879,59,12439.5,29.5,1997.5,13.5
192.168.20.43,255.255.255.255,7583,36,3791.5,18.0,3697.5,15.0
192.168.20.43,3.234.165.228,31989189,285,3.1989189E7,285.0,0.0,0.0
3.140.228.75,192.168.20.48,7054,4,7054.0,4.0,0.0,0.0
